Abadia dos Dourados/MG;38540-000
Abaeté/MG;35620-000
Rio Paranaíba/MG;38812-000
Abre Campo/MG;35365-000
Acaiaca/MG;35438-000
Itabirito/MG;35458-000
Botumirim/MG;39597-000
Aimorés/MG;35200-000
Aiuruoca/MG;37450-000
Alagoa/MG;37458-000
Albertina/MG;37596-000
Martinho Campos/MG;35608-000
Formiga/MG;35579-400
Conselheiro Pena/MG;35245-000
Coromandel/MG;38560-000
Iturama/MG;38282-000
Jaboticatubas/MG;35835-000
Alpercata/MG;35138-000
Alpinópolis/MG;37940-000
Aimorés/MG;35210-000
Governador Valadares/MG;35102-000
Tapiraí/MG;38985-000
Alvarenga/MG;35249-000
Alvinópolis/MG;35950-000
Baldim/MG;35734-000
Araguari/MG;38455-000
Ouro Preto/MG;35412-000
Amparo da Serra/MG;35444-000
Andradas/MG;37795-000
Angelândia/MG;39685-000
Curvelo/MG;35798-400
Igaratinga/MG;35698-000
Antônio Dias/MG;35177-000
Franciscópolis/MG;39697-000
Ouro Preto/MG;35411-000
Caeté/MG;34960-000
Frutal/MG;38208-300
Açucena/MG;35147-100
Brumadinho/MG;35462-000
Arantina/MG;37360-000
Araporã/MG;38465-000
Arapuá/MG;38860-000
Araçaí/MG;35777-000
Araçuaí/MG;39600-000
Araújos/MG;35603-000
Arceburgo/MG;37820-000
Arcos/MG;35588-000
Ibiá/MG;38955-000
Aricanduva/MG;39678-000
Arinos/MG;38680-000
Pará de Minas/MG;35665-000
Mateus Leme/MG;35672-000
Açucena/MG;35147-000
Delfinópolis/MG;37915-000
Baependi/MG;37443-000
Governador Valadares/MG;35105-000
Uberaba/MG;38101-000
Minas Novas/MG;39652-000
Formiga/MG;35579-200
Baldim/MG;35732-000
Esmeraldas/MG;32813-500
Bambuí/MG;38900-000
Bandeira do Sul/MG;37740-000
Mariana/MG;35423-000
Ipatinga/MG;35165-000
Santa Bárbara/MG;35963-000
Barra Longa/MG;35447-000
Mantena/MG;35295-000
Conselheiro Pena/MG;35243-000
Catuti/MG;39526-700
Janaúba/MG;39449-300
Alvinópolis/MG;35952-000
Mariana/MG;35422-500
Grão Mogol/MG;39572-000
Barão de Cocais/MG;35970-000
Itabirito/MG;35459-000
Estrela do Indaiá/MG;35615-000
Bela Vista de Minas/MG;35938-000
Belmiro Braga/MG;36126-000
Belo Oriente/MG;35195-000
Belo Vale/MG;35473-000
Berilo/MG;39640-000
Berizal/MG;39555-000
Raul Soares/MG;35352-000
Biquinhas/MG;35621-000
Jeceaba/MG;35497-000
Frutal/MG;38208-700
Formiga/MG;35579-600
Itabirinha/MG;35285-000
Esmeraldas/MG;32812-000
Nova Serrana/MG;35529-000
Unaí/MG;38621-000
Bom Despacho/MG;35600-000
Carmópolis de Minas/MG;35535-000
Bom Jesus da Penha/MG;37948-000
Carmo do Cajuru/MG;35559-000
Urucânia/MG;35381-000
Bom Jesus do Amparo/MG;35908-000
Bom Jesus do Galho/MG;35340-000
Frei Inocêncio/MG;35112-800
